,Model,Batch size,Loss
0,"Linear (10, 2)",10,"313.4699"
1,"Linear (10, 2)",10,"314.5786"
2,"Linear (10, 2)",10,"310.6346"
3,"Linear (10, 2)",10,"312.5566"
4,"Linear (10, 2)",10,"312.0463"
5,"Linear (10, 2)",10,"313.1010"
6,"Linear (10, 2)",10,"326.7996"
7,"Linear (10, 2)",10,"316.4084"
8,"Linear (10, 2)",10,"325.7596"
9,"Linear (10, 2)",10,"314.8840"
10,"Linear (10, 2)",50,"308.7021"
11,"Linear (10, 2)",50,"308.9170"
12,"Linear (10, 2)",50,"308.1973"
13,"Linear (10, 2)",50,"308.1748"
14,"Linear (10, 2)",50,"308.2896"
15,"Linear (10, 2)",50,"308.1477"
16,"Linear (10, 2)",50,"308.2400"
17,"Linear (10, 2)",50,"309.3029"
18,"Linear (10, 2)",50,"308.2642"
19,"Linear (10, 2)",50,"308.5837"
20,"Linear (10, 2)",100,"308.0964"
21,"Linear (10, 2)",100,"308.2328"
22,"Linear (10, 2)",100,"308.5120"
23,"Linear (10, 2)",100,"308.2426"
24,"Linear (10, 2)",100,"308.1765"
25,"Linear (10, 2)",100,"308.4246"
26,"Linear (10, 2)",100,"309.2192"
27,"Linear (10, 2)",100,"308.1126"
28,"Linear (10, 2)",100,"308.2907"
29,"Linear (10, 2)",100,"308.1851"
30,"Linear (10, 2)",221,"308.6041"
31,"Linear (10, 2)",221,"308.5941"
32,"Linear (10, 2)",221,"308.6036"
33,"Linear (10, 2)",221,"308.5829"
34,"Linear (10, 2)",221,"308.5866"
35,"Linear (10, 2)",221,"308.6252"
36,"Linear (10, 2)",221,"308.5946"
37,"Linear (10, 2)",221,"308.5973"
38,"Linear (10, 2)",221,"308.6201"
39,"Linear (10, 2)",221,"308.5972"
40,"Linear (10, 2)",442,"309.3924"
41,"Linear (10, 2)",442,"309.3924"
42,"Linear (10, 2)",442,"309.3924"
43,"Linear (10, 2)",442,"309.3924"
44,"Linear (10, 2)",442,"309.3924"
45,"Linear (10, 2)",442,"309.3924"
46,"Linear (10, 2)",442,"309.3924"
47,"Linear (10, 2)",442,"309.3924"
48,"Linear (10, 2)",442,"309.3924"
49,"Linear (10, 2)",442,"309.3924"
50,"Non-linear (10, 2)",10,"316.3612"
51,"Non-linear (10, 2)",10,"316.3668"
52,"Non-linear (10, 2)",10,"322.2738"
53,"Non-linear (10, 2)",10,"315.4795"
54,"Non-linear (10, 2)",10,"314.0280"
55,"Non-linear (10, 2)",10,"315.7859"
56,"Non-linear (10, 2)",10,"314.1260"
57,"Non-linear (10, 2)",10,"313.6764"
58,"Non-linear (10, 2)",10,"315.1936"
59,"Non-linear (10, 2)",10,"311.5393"
